Format,Metric,Year,Format_Value_Num_Billions,Format_Value_Num_Millions,Actual_Value
Ringtones & Ringbacks,Units,1995,,,
Ringtones & Ringbacks,Units,1996,,,
Ringtones & Ringbacks,Units,1997,,,
Ringtones & Ringbacks,Units,1998,,,
Ringtones & Ringbacks,Units,1999,,,
Ringtones & Ringbacks,Units,2000,,,
Ringtones & Ringbacks,Units,2001,,,
Ringtones & Ringbacks,Units,2002,,,
Ringtones & Ringbacks,Units,2003,,,
Ringtones & Ringbacks,Units,2004,,,
Ringtones & Ringbacks,Units,2005,,170.0,170.0
Ringtones & Ringbacks,Units,2006,,315.0,315.0
Ringtones & Ringbacks,Units,2007,,433.8,433.8
Ringtones & Ringbacks,Units,2008,,405.1,405.1
Ringtones & Ringbacks,Units,2009,,294.3,294.3
Ringtones & Ringbacks,Units,2010,,188.5,188.5
Ringtones & Ringbacks,Units,2011,,115.4,115.4
Ringtones & Ringbacks,Units,2012,,58.8,58.75740355600001
Ringtones & Ringbacks,Units,2013,,39.4,39.366235778000004
Ringtones & Ringbacks,Units,2014,,26.6,26.632323683000003
Ringtones & Ringbacks,Units,2015,,21.9,21.924866054000002
Ringtones & Ringbacks,Units,2016,,22.6,22.620785392
Ringtones & Ringbacks,Units,2017,,14.3,14.262869940999998
Ringtones & Ringbacks,Units,2018,,10.0,10.026286725
Ringtones & Ringbacks,Units,2019,,8.6,8.605769716000001
Paid Subscriptions,Units,1973,,,
Paid Subscriptions,Units,1974,,,
Paid Subscriptions,Units,1975,,,
Paid Subscriptions,Units,1976,,,
Paid Subscriptions,Units,1977,,,
Paid Subscriptions,Units,1978,,,
Paid Subscriptions,Units,1979,,,
Paid Subscriptions,Units,1980,,,
Paid Subscriptions,Units,1981,,,
Paid Subscriptions,Units,1982,,,
Paid Subscriptions,Units,1983,,,
Paid Subscriptions,Units,1984,,,
Paid Subscriptions,Units,1985,,,
Paid Subscriptions,Units,1986,,,
Paid Subscriptions,Units,1987,,,
Paid Subscriptions,Units,1988,,,
Paid Subscriptions,Units,1989,,,
Paid Subscriptions,Units,1990,,,
Paid Subscriptions,Units,1991,,,
Paid Subscriptions,Units,1992,,,
Paid Subscriptions,Units,1993,,,
Paid Subscriptions,Units,1994,,,
Paid Subscriptions,Units,1995,,,
Paid Subscriptions,Units,1996,,,
Paid Subscriptions,Units,1997,,,
Paid Subscriptions,Units,1998,,,
Paid Subscriptions,Units,1999,,,
Paid Subscriptions,Units,2000,,,
Paid Subscriptions,Units,2001,,,
Paid Subscriptions,Units,2002,,,
Paid Subscriptions,Units,2003,,,
Paid Subscriptions,Units,2004,,,
Paid Subscriptions,Units,2005,,1.3,1.3
Paid Subscriptions,Units,2006,,1.7,1.7
Paid Subscriptions,Units,2007,,1.8,1.8
Paid Subscriptions,Units,2008,,1.6,1.6
Paid Subscriptions,Units,2009,,1.2,1.2
Paid Subscriptions,Units,2010,,1.5,1.5
Paid Subscriptions,Units,2011,,1.8,1.8
Paid Subscriptions,Units,2012,,3.4,3.36
Paid Subscriptions,Units,2013,,6.2,6.16
Paid Subscriptions,Units,2014,,7.7,7.73
Paid Subscriptions,Units,2015,,10.8,10.84
Paid Subscriptions,Units,2016,,22.7,22.68
Paid Subscriptions,Units,2017,,35.3,35.273501216
Paid Subscriptions,Units,2018,,46.9,46.91132324
Paid Subscriptions,Units,2019,,60.4,60.381947607
CD,Value,1973,,,
CD,Value,1974,,,
CD,Value,1975,,,
CD,Value,1976,,,
CD,Value,1977,,,
CD,Value,1978,,,
CD,Value,1979,,,
CD,Value,1980,,,
CD,Value,1981,,,
CD,Value,1982,,,
CD,Value,1983,,17.2,17.2
CD,Value,1984,,103.3,103.3
CD,Value,1985,,389.5,389.5
CD,Value,1986,,930.1,930.1
CD,Value,1987,1.6,,1593.6
CD,Value,1988,2.1,,2089.9
CD,Value,1989,2.6,,2587.7
CD,Value,1990,3.5,,3451.6
CD,Value,1991,4.3,,4337.7
CD,Value,1992,5.3,,5326.5
CD,Value,1993,6.5,,6511.4
CD,Value,1994,8.5,,8464.5
CD,Value,1995,9.4,,9377.4
CD,Value,1996,9.9,,9934.7
CD,Value,1997,9.9,,9915.1
CD,Value,1998,11.4,,11416.0
CD,Value,1999,12.8,,12816.3
CD,Value,2000,13.2,,13214.5
CD,Value,2001,12.9,,12909.4
CD,Value,2002,12.0,,12044.1
CD,Value,2003,11.2,,11232.9
CD,Value,2004,11.4,,11446.5
CD,Value,2005,10.5,,10520.2
CD,Value,2006,9.4,,9372.6
CD,Value,2007,7.5,,7452.3
CD,Value,2008,5.5,,5471.3
CD,Value,2009,4.3,,4318.8
CD,Value,2010,3.4,,3389.4
CD,Value,2011,3.1,,3100.7
CD,Value,2012,2.5,,2485.614699086
CD,Value,2013,2.1,,2140.917718167
CD,Value,2014,1.8,,1776.249323795
CD,Value,2015,1.4,,1444.9931935289999
CD,Value,2016,1.1,,1130.764650638
CD,Value,2017,1.1,,1057.323090205
CD,Value,2018,,698.4,698.386637244
CD,Value,2019,,614.5,614.509779894
CD Single,Value,1973,,,
CD Single,Value,1974,,,
CD Single,Value,1975,,,
CD Single,Value,1976,,,
CD Single,Value,1977,,,
CD Single,Value,1978,,,
CD Single,Value,1979,,,
CD Single,Value,1980,,,
CD Single,Value,1981,,,
CD Single,Value,1982,,,
CD Single,Value,1983,,,
CD Single,Value,1984,,,
CD Single,Value,1985,,,
CD Single,Value,1986,,,
CD Single,Value,1987,,,
CD Single,Value,1988,,9.8,9.8
CD Single,Value,1989,,-0.7,-0.7
CD Single,Value,1990,,6.0,6.0
CD Single,Value,1991,,35.1,35.1
CD Single,Value,1992,,45.1,45.1
CD Single,Value,1993,,45.8,45.8
CD Single,Value,1994,,56.1,56.1
CD Single,Value,1995,,110.9,110.9
CD Single,Value,1996,,184.1,184.1
CD Single,Value,1997,,272.7,272.7
CD Single,Value,1998,,213.2,213.2
CD Single,Value,1999,,222.4,222.4
CD Single,Value,2000,,142.7,142.7
CD Single,Value,2001,,79.4,79.4
CD Single,Value,2002,,19.6,19.6
CD Single,Value,2003,,36.0,36.0
CD Single,Value,2004,,15.0,15.0
CD Single,Value,2005,,10.9,10.9
CD Single,Value,2006,,7.7,7.7
CD Single,Value,2007,,12.2,12.2
CD Single,Value,2008,,3.5,3.5
CD Single,Value,2009,,3.1,3.1
CD Single,Value,2010,,2.9,2.9
CD Single,Value,2011,,3.5,3.5
CD Single,Value,2012,,3.2,3.225092945
CD Single,Value,2013,,2.4,2.445737226
CD Single,Value,2014,,3.6,3.616015547
CD Single,Value,2015,,1.2,1.19694661
CD Single,Value,2016,,0.3,0.263199082
CD Single,Value,2017,,1.5,1.478694184
CD Single,Value,2018,,0.2,0.15516984
CD Single,Value,2019,,0.2,0.18167887800000002
Cassette,Value,1973,,76.0,76.0
Cassette,Value,1974,,87.2,87.2
Cassette,Value,1975,,98.8,98.8
Cassette,Value,1976,,145.7,145.7
Cassette,Value,1977,,249.6,249.6
Cassette,Value,1978,,449.8,449.8
Cassette,Value,1979,,580.6,580.6
Cassette,Value,1980,,705.0,705.0
Cassette,Value,1981,1.1,,1062.8
Cassette,Value,1982,1.4,,1384.5
Cassette,Value,1983,1.8,,1810.9
Cassette,Value,1984,2.4,,2383.9
Cassette,Value,1985,2.4,,2411.5
Cassette,Value,1986,2.5,,2499.5
Cassette,Value,1987,3.0,,2959.7
Cassette,Value,1988,3.4,,3385.1
Cassette,Value,1989,3.3,,3345.8
Cassette,Value,1990,3.5,,3472.4
Cassette,Value,1991,3.0,,3019.6
Cassette,Value,1992,3.1,,3116.3
Cassette,Value,1993,2.9,,2915.8
Cassette,Value,1994,3.0,,2976.4
Cassette,Value,1995,2.3,,2303.6
Cassette,Value,1996,1.9,,1905.3
Cassette,Value,1997,1.5,,1522.7
Cassette,Value,1998,1.4,,1419.9
Cassette,Value,1999,1.1,,1061.6
Cassette,Value,2000,,626.0,626.0
Cassette,Value,2001,,363.4,363.4
Cassette,Value,2002,,209.8,209.8
Cassette,Value,2003,,108.1,108.1
Cassette,Value,2004,,23.7,23.7
Cassette,Value,2005,,13.1,13.1
Cassette,Value,2006,,3.7,3.7
Cassette,Value,2007,,3.0,3.0
Cassette,Value,2008,,0.9,0.9
Cassette,Value,2009,,0.0,0.0
Cassette,Value,2010,,,
Cassette,Value,2011,,,
Cassette,Value,2012,,,
Cassette,Value,2013,,,
Cassette,Value,2014,,,
Cassette,Value,2015,,,
Cassette,Value,2016,,,
Cassette,Value,2017,,,
Cassette,Value,2018,,,
Cassette,Value,2019,,,
Cassette Single,Value,1973,,,
Cassette Single,Value,1974,,,
Cassette Single,Value,1975,,,
Cassette Single,Value,1976,,,
Cassette Single,Value,1977,,,
Cassette Single,Value,1978,,,
Cassette Single,Value,1979,,,
Cassette Single,Value,1980,,,
Cassette Single,Value,1981,,,
Cassette Single,Value,1982,,,
Cassette Single,Value,1983,,,
Cassette Single,Value,1984,,,
Cassette Single,Value,1985,,,
Cassette Single,Value,1986,,,
Cassette Single,Value,1987,,14.3,14.3
Cassette Single,Value,1988,,57.3,57.3
Cassette Single,Value,1989,,194.6,194.6
Cassette Single,Value,1990,,257.9,257.9
Cassette Single,Value,1991,,230.4,230.4
Cassette Single,Value,1992,,298.8,298.8
Cassette Single,Value,1993,,298.5,298.5
Cassette Single,Value,1994,,274.9,274.9
Cassette Single,Value,1995,,236.3,236.3
Cassette Single,Value,1996,,189.3,189.3
Cassette Single,Value,1997,,133.5,133.5
Cassette Single,Value,1998,,94.4,94.4
Cassette Single,Value,1999,,48.0,48.0
Cassette Single,Value,2000,,4.6,4.6
Cassette Single,Value,2001,,-5.3,-5.3
Cassette Single,Value,2002,,-1.6,-1.6
Cassette Single,Value,2003,,,
Cassette Single,Value,2004,,,
Cassette Single,Value,2005,,,
Cassette Single,Value,2006,,,
Cassette Single,Value,2007,,,
Cassette Single,Value,2008,,,
Cassette Single,Value,2009,,,
Cassette Single,Value,2010,,,
Cassette Single,Value,2011,,,
Cassette Single,Value,2012,,,
Cassette Single,Value,2013,,,
Cassette Single,Value,2014,,,
Cassette Single,Value,2015,,,
Cassette Single,Value,2016,,,
Cassette Single,Value,2017,,,
Cassette Single,Value,2018,,,
Cassette Single,Value,2019,,,
LP/EP,Value,1973,1.2,,1246.0
LP/EP,Value,1974,1.4,,1356.0
LP/EP,Value,1975,1.5,,1485.0
LP/EP,Value,1976,1.7,,1663.0
LP/EP,Value,1977,2.2,,2195.1
LP/EP,Value,1978,2.5,,2473.3
LP/EP,Value,1979,2.1,,2057.0
LP/EP,Value,1980,2.2,,2200.0
LP/EP,Value,1981,2.3,,2341.7
LP/EP,Value,1982,1.9,,1925.1
LP/EP,Value,1983,1.7,,1689.0
LP/EP,Value,1984,1.5,,1548.8
LP/EP,Value,1985,1.3,,1280.5
8 - Track,Value,1973,,489.0,489.0
8 - Track,Value,1974,,549.2,549.2
8 - Track,Value,1975,,583.0,583.0
8 - Track,Value,1976,,678.2,678.2
8 - Track,Value,1977,,811.0,811.0
8 - Track,Value,1978,,948.0,948.0
8 - Track,Value,1979,,684.3,684.3
8 - Track,Value,1980,,527.0,527.0
8 - Track,Value,1981,,313.0,313.0
8 - Track,Value,1982,,36.0,36.0
8 - Track,Value,1983,,,
8 - Track,Value,1984,,,
8 - Track,Value,1985,,,
8 - Track,Value,1986,,,
8 - Track,Value,1987,,,
8 - Track,Value,1988,,,
8 - Track,Value,1989,,,
8 - Track,Value,1990,,,
8 - Track,Value,1991,,,
8 - Track,Value,1992,,,
8 - Track,Value,1993,,,
8 - Track,Value,1994,,,
8 - Track,Value,1995,,,
8 - Track,Value,1996,,,
8 - Track,Value,1997,,,
8 - Track,Value,1998,,,
8 - Track,Value,1999,,,
8 - Track,Value,2000,,,
8 - Track,Value,2001,,,
8 - Track,Value,2002,,,
8 - Track,Value,2003,,,
8 - Track,Value,2004,,,
8 - Track,Value,2005,,,
8 - Track,Value,2006,,,
8 - Track,Value,2007,,,
8 - Track,Value,2008,,,
8 - Track,Value,2009,,,
8 - Track,Value,2010,,,
8 - Track,Value,2011,,,
8 - Track,Value,2012,,,
8 - Track,Value,2013,,,
8 - Track,Value,2014,,,
8 - Track,Value,2015,,,
8 - Track,Value,2016,,,
8 - Track,Value,2017,,,
8 - Track,Value,2018,,,
8 - Track,Value,2019,,,
DVD Audio,Value,1973,,,
DVD Audio,Value,1974,,,
DVD Audio,Value,1975,,,
DVD Audio,Value,1976,,,
DVD Audio,Value,1977,,,
DVD Audio,Value,1978,,,
DVD Audio,Value,1979,,,
DVD Audio,Value,1980,,,
DVD Audio,Value,1981,,,
DVD Audio,Value,1982,,,
DVD Audio,Value,1983,,,
DVD Audio,Value,1984,,,
DVD Audio,Value,1985,,,
DVD Audio,Value,1986,,,
DVD Audio,Value,1987,,,
DVD Audio,Value,1988,,,
DVD Audio,Value,1989,,,
DVD Audio,Value,1990,,,
DVD Audio,Value,1991,,,
DVD Audio,Value,1992,,,
DVD Audio,Value,1993,,,
DVD Audio,Value,1994,,,
DVD Audio,Value,1995,,,
DVD Audio,Value,1996,,,
DVD Audio,Value,1997,,,
DVD Audio,Value,1998,,,
DVD Audio,Value,1999,,,
DVD Audio,Value,2000,,,
DVD Audio,Value,2001,,6.0,6.0
DVD Audio,Value,2002,,8.5,8.5
DVD Audio,Value,2003,,8.0,8.0
DVD Audio,Value,2004,,6.5,6.5
DVD Audio,Value,2005,,11.2,11.2
DVD Audio,Value,2006,,2.4,2.4
DVD Audio,Value,2007,,2.8,2.8
DVD Audio,Value,2008,,1.2,1.2
DVD Audio,Value,2009,,1.6,1.6
DVD Audio,Value,2010,,0.9,0.9
DVD Audio,Value,2011,,0.3,0.3
DVD Audio,Value,2012,,0.2,0.183106992
DVD Audio,Value,2013,,-0.5,-0.495804191
DVD Audio,Value,2014,,2.1,2.139460944
DVD Audio,Value,2015,,5.4,5.416232673
DVD Audio,Value,2016,,2.8,2.83553587
DVD Audio,Value,2017,,2.6,2.606840648
DVD Audio,Value,2018,,3.3,3.317383752
DVD Audio,Value,2019,,1.1,1.067303184
Download Album,Value,1973,,,
Download Album,Value,1974,,,
Download Album,Value,1975,,,
Download Album,Value,1976,,,
Download Album,Value,1977,,,
Download Album,Value,1978,,,
Download Album,Value,1979,,,
Download Album,Value,1980,,,
Download Album,Value,1981,,,
Download Album,Value,1982,,,
Download Album,Value,1983,,,
Download Album,Value,1984,,,
Download Album,Value,1985,,,
Download Album,Value,1986,,,
Download Album,Value,1987,,,
Download Album,Value,1988,,,
Download Album,Value,1989,,,
Download Album,Value,1990,,,
Download Album,Value,1991,,,
Download Album,Value,1992,,,
Download Album,Value,1993,,,
Download Album,Value,1994,,,
Download Album,Value,1995,,,
Download Album,Value,1996,,,
Download Album,Value,1997,,,
Download Album,Value,1998,,,
Download Album,Value,1999,,,
Download Album,Value,2000,,,
Download Album,Value,2001,,,
Download Album,Value,2002,,,
Download Album,Value,2003,,,
Download Album,Value,2004,,45.5,45.5
Download Album,Value,2005,,135.7,135.7
Download Album,Value,2006,,275.9,275.9
Download Album,Value,2007,,497.4,497.4
Download Album,Value,2008,,635.3,635.3
Download Album,Value,2009,,744.3,744.3
Download Album,Value,2010,,872.4,872.4
Download Album,Value,2011,1.1,,1070.8
Download Album,Value,2012,1.2,,1204.822242537
Download Album,Value,2013,1.2,,1232.1397156169999
Download Album,Value,2014,1.1,,1117.900008828
Download Album,Value,2015,1.1,,1064.4336066639999
Download Album,Value,2016,,868.6,868.59426835
Download Album,Value,2017,,668.5,668.500705901
Download Album,Value,2018,,499.7,499.65083242
Download Album,Value,2019,,394.5,394.53300615800003
Download Music Video,Value,1973,,,
Download Music Video,Value,1974,,,
Download Music Video,Value,1975,,,
Download Music Video,Value,1976,,,
Download Music Video,Value,1977,,,
Download Music Video,Value,1978,,,
Download Music Video,Value,1979,,,
Download Music Video,Value,1980,,,
Download Music Video,Value,1981,,,
Download Music Video,Value,1982,,,
Download Music Video,Value,1983,,,
Download Music Video,Value,1984,,,
Download Music Video,Value,1985,,,
Download Music Video,Value,1986,,,
Download Music Video,Value,1987,,,
Download Music Video,Value,1988,,,
Download Music Video,Value,1989,,,
Download Music Video,Value,1990,,,
Download Music Video,Value,1991,,,
Download Music Video,Value,1992,,,
Download Music Video,Value,1993,,,
Download Music Video,Value,1994,,,
Download Music Video,Value,1995,,,
Download Music Video,Value,1996,,,
Download Music Video,Value,1997,,,
Download Music Video,Value,1998,,,
Download Music Video,Value,1999,,,
Download Music Video,Value,2000,,,
Download Music Video,Value,2001,,,
Download Music Video,Value,2002,,,
Download Music Video,Value,2003,,,
Download Music Video,Value,2004,,,
Download Music Video,Value,2005,,3.7,3.7
Download Music Video,Value,2006,,19.7,19.7
Download Music Video,Value,2007,,28.2,28.2
Download Music Video,Value,2008,,41.3,41.3
Download Music Video,Value,2009,,40.9,40.9
Download Music Video,Value,2010,,36.6,36.6
Download Music Video,Value,2011,,32.4,32.4
Download Music Video,Value,2012,,20.8,20.842242000000002
Download Music Video,Value,2013,,16.7,16.740803
Download Music Video,Value,2014,,13.6,13.577058
Download Music Video,Value,2015,,6.4,6.4144190000000005
Download Music Video,Value,2016,,4.3,4.26940012
Download Music Video,Value,2017,,2.8,2.785780489
Download Music Video,Value,2018,,2.2,2.2208106
Download Music Video,Value,2019,,1.9,1.8589104019999998
Download Single,Value,1973,,,
Download Single,Value,1974,,,
Download Single,Value,1975,,,
Download Single,Value,1976,,,
Download Single,Value,1977,,,
Download Single,Value,1978,,,
Download Single,Value,1979,,,
Download Single,Value,1980,,,
Download Single,Value,1981,,,
Download Single,Value,1982,,,
Download Single,Value,1983,,,
Download Single,Value,1984,,,
Download Single,Value,1985,,,
Download Single,Value,1986,,,
Download Single,Value,1987,,,
Download Single,Value,1988,,,
Download Single,Value,1989,,,
Download Single,Value,1990,,,
Download Single,Value,1991,,,
Download Single,Value,1992,,,
Download Single,Value,1993,,,
Download Single,Value,1994,,,
Download Single,Value,1995,,,
Download Single,Value,1996,,,
Download Single,Value,1997,,,
Download Single,Value,1998,,,
Download Single,Value,1999,,,
Download Single,Value,2000,,,
Download Single,Value,2001,,,
Download Single,Value,2002,,,
Download Single,Value,2003,,,
Download Single,Value,2004,,138.0,138.0
Download Single,Value,2005,,363.3,363.3
Download Single,Value,2006,,580.6,580.6
Download Single,Value,2007,,811.0,811.0
Download Single,Value,2008,1.0,,1032.2
Download Single,Value,2009,1.2,,1172.0
Download Single,Value,2010,1.3,,1336.4
Download Single,Value,2011,1.5,,1522.4
Download Single,Value,2012,1.6,,1644.570645308
Download Single,Value,2013,1.6,,1573.420534445
Download Single,Value,2014,1.4,,1355.331251323
Download Single,Value,2015,1.2,,1185.237594639
Download Single,Value,2016,,900.2,900.1814810660001
Download Single,Value,2017,,678.5,678.5248883219999
Download Single,Value,2018,,490.4,490.43048865800006
Download Single,Value,2019,,414.8,414.804250982
Kiosk,Value,1973,,,
Kiosk,Value,1974,,,
Kiosk,Value,1975,,,
Kiosk,Value,1976,,,
Kiosk,Value,1977,,,
Kiosk,Value,1978,,,
Kiosk,Value,1979,,,
Kiosk,Value,1980,,,
Kiosk,Value,1981,,,
Kiosk,Value,1982,,,
Kiosk,Value,1983,,,
Kiosk,Value,1984,,,
Kiosk,Value,1985,,,
Kiosk,Value,1986,,,
Kiosk,Value,1987,,,
Kiosk,Value,1988,,,
Kiosk,Value,1989,,,
Kiosk,Value,1990,,,
Kiosk,Value,1991,,,
Kiosk,Value,1992,,,
Kiosk,Value,1993,,,
Kiosk,Value,1994,,,
Kiosk,Value,1995,,,
Kiosk,Value,1996,,,
Kiosk,Value,1997,,,
Kiosk,Value,1998,,,
Kiosk,Value,1999,,,
Kiosk,Value,2000,,,
Kiosk,Value,2001,,,
Kiosk,Value,2002,,,
Kiosk,Value,2003,,,
Kiosk,Value,2004,,,
Kiosk,Value,2005,,1.0,1.0
Kiosk,Value,2006,,1.9,1.9
Kiosk,Value,2007,,2.6,2.6
Kiosk,Value,2008,,2.6,2.6
Kiosk,Value,2009,,6.3,6.3
Kiosk,Value,2010,,6.4,6.4
Kiosk,Value,2011,,2.7,2.7
Kiosk,Value,2012,,3.7,3.654065
Kiosk,Value,2013,,6.2,6.183604
Kiosk,Value,2014,,2.6,2.582636
Kiosk,Value,2015,,3.7,3.7004550000000003
Kiosk,Value,2016,,2.9,2.9439168010000003
Kiosk,Value,2017,,2.3,2.25474315
Kiosk,Value,2018,,2.0,1.965045799
Kiosk,Value,2019,,1.6,1.586470587
LP/EP,Value,1986,,983.0,983.0
LP/EP,Value,1987,,793.1,793.1
LP/EP,Value,1988,,532.2,532.2
LP/EP,Value,1989,,220.3,220.3
LP/EP,Value,1990,,86.5,86.5
LP/EP,Value,1991,,29.4,29.4
LP/EP,Value,1992,,13.5,13.5
LP/EP,Value,1993,,10.6,10.6
LP/EP,Value,1994,,17.8,17.8
LP/EP,Value,1995,,25.1,25.1
LP/EP,Value,1996,,36.8,36.8
LP/EP,Value,1997,,33.3,33.3
LP/EP,Value,1998,,34.0,34.0
LP/EP,Value,1999,,31.8,31.8
LP/EP,Value,2000,,27.7,27.7
LP/EP,Value,2001,,27.4,27.4
LP/EP,Value,2002,,20.5,20.5
LP/EP,Value,2003,,21.7,21.7
LP/EP,Value,2004,,19.3,19.3
LP/EP,Value,2005,,14.2,14.2
LP/EP,Value,2006,,15.7,15.7
LP/EP,Value,2007,,22.9,22.9
LP/EP,Value,2008,,56.7,56.7
LP/EP,Value,2009,,63.8,63.8
LP/EP,Value,2010,,88.9,88.9
LP/EP,Value,2011,,119.4,119.4
LP/EP,Value,2012,,160.7,160.723058291
LP/EP,Value,2013,,210.7,210.73905103400003
LP/EP,Value,2014,,243.8,243.84684834
LP/EP,Value,2015,,333.4,333.379793112
LP/EP,Value,2016,,355.4,355.430890954
LP/EP,Value,2017,,388.5,388.511108168
LP/EP,Value,2018,,419.2,419.22394696099997
LP/EP,Value,2019,,497.6,497.588920842
Limited Tier Paid Subscription,Value,1973,,,
Limited Tier Paid Subscription,Value,1974,,,
Limited Tier Paid Subscription,Value,1975,,,
Limited Tier Paid Subscription,Value,1976,,,
Limited Tier Paid Subscription,Value,1977,,,
Limited Tier Paid Subscription,Value,1978,,,
Limited Tier Paid Subscription,Value,1979,,,
Limited Tier Paid Subscription,Value,1980,,,
Limited Tier Paid Subscription,Value,1981,,,
Limited Tier Paid Subscription,Value,1982,,,
Limited Tier Paid Subscription,Value,1983,,,
Limited Tier Paid Subscription,Value,1984,,,
Limited Tier Paid Subscription,Value,1985,,,
Limited Tier Paid Subscription,Value,1986,,,
Limited Tier Paid Subscription,Value,1987,,,
Limited Tier Paid Subscription,Value,1988,,,
Limited Tier Paid Subscription,Value,1989,,,
Limited Tier Paid Subscription,Value,1990,,,
Limited Tier Paid Subscription,Value,1991,,,
Limited Tier Paid Subscription,Value,1992,,,
Limited Tier Paid Subscription,Value,1993,,,
Limited Tier Paid Subscription,Value,1994,,,
Limited Tier Paid Subscription,Value,1995,,,
Limited Tier Paid Subscription,Value,1996,,,
Limited Tier Paid Subscription,Value,1997,,,
Limited Tier Paid Subscription,Value,1998,,,
Limited Tier Paid Subscription,Value,1999,,,
Limited Tier Paid Subscription,Value,2000,,,
Limited Tier Paid Subscription,Value,2001,,,
Limited Tier Paid Subscription,Value,2002,,,
Limited Tier Paid Subscription,Value,2003,,,
Limited Tier Paid Subscription,Value,2004,,,
Limited Tier Paid Subscription,Value,2005,,,
Limited Tier Paid Subscription,Value,2006,,,
Limited Tier Paid Subscription,Value,2007,,,
Limited Tier Paid Subscription,Value,2008,,,
Limited Tier Paid Subscription,Value,2009,,,
Limited Tier Paid Subscription,Value,2010,,,
Limited Tier Paid Subscription,Value,2011,,,
Limited Tier Paid Subscription,Value,2012,,,
Limited Tier Paid Subscription,Value,2013,,,
Limited Tier Paid Subscription,Value,2014,,,
Limited Tier Paid Subscription,Value,2015,,,
Limited Tier Paid Subscription,Value,2016,,263.4,263.363685193
Limited Tier Paid Subscription,Value,2017,,591.6,591.601097499
Limited Tier Paid Subscription,Value,2018,,747.1,747.054906158
Limited Tier Paid Subscription,Value,2019,,829.5,829.498739675
Music Video (Physical),Value,1973,,,
Music Video (Physical),Value,1974,,,
Music Video (Physical),Value,1975,,,
Music Video (Physical),Value,1976,,,
Music Video (Physical),Value,1977,,,
Music Video (Physical),Value,1978,,,
Music Video (Physical),Value,1979,,,
Music Video (Physical),Value,1980,,,
Music Video (Physical),Value,1981,,,
Music Video (Physical),Value,1982,,,
Music Video (Physical),Value,1983,,,
Music Video (Physical),Value,1984,,,
Music Video (Physical),Value,1985,,,
Music Video (Physical),Value,1986,,,
Music Video (Physical),Value,1987,,,
Music Video (Physical),Value,1988,,,
Music Video (Physical),Value,1989,,115.4,115.4
Music Video (Physical),Value,1990,,172.3,172.3
Music Video (Physical),Value,1991,,118.1,118.1
Music Video (Physical),Value,1992,,157.4,157.4
Music Video (Physical),Value,1993,,213.3,213.3
Music Video (Physical),Value,1994,,231.1,231.1
Music Video (Physical),Value,1995,,220.3,220.3
Music Video (Physical),Value,1996,,236.1,236.1
Music Video (Physical),Value,1997,,323.9,323.9
Music Video (Physical),Value,1998,,508.0,508.0
Music Video (Physical),Value,1999,,376.7,376.7
Music Video (Physical),Value,2000,,281.9,281.9
Music Video (Physical),Value,2001,,329.2,329.2
Music Video (Physical),Value,2002,,288.4,288.4
Music Video (Physical),Value,2003,,399.9,399.9
Music Video (Physical),Value,2004,,607.2,607.2
Music Video (Physical),Value,2005,,602.2,602.2
Music Video (Physical),Value,2006,,451.1,451.1
Music Video (Physical),Value,2007,,484.9,484.9
Music Video (Physical),Value,2008,,227.3,227.3
Music Video (Physical),Value,2009,,209.6,209.6
Music Video (Physical),Value,2010,,177.6,177.6
Music Video (Physical),Value,2011,,151.0,151.0
Music Video (Physical),Value,2012,,116.6,116.61365460200001
Music Video (Physical),Value,2013,,106.3,106.283137789
Music Video (Physical),Value,2014,,89.7,89.705579875
Music Video (Physical),Value,2015,,70.4,70.434363958
Music Video (Physical),Value,2016,,56.9,56.922902813
Music Video (Physical),Value,2017,,38.6,38.619446998
Music Video (Physical),Value,2018,,27.6,27.561260298
Music Video (Physical),Value,2019,,27.7,27.705246783000003
On-Demand Streaming (Ad-Supported),Value,1973,,,
On-Demand Streaming (Ad-Supported),Value,1974,,,
On-Demand Streaming (Ad-Supported),Value,1975,,,
On-Demand Streaming (Ad-Supported),Value,1976,,,
On-Demand Streaming (Ad-Supported),Value,1977,,,
On-Demand Streaming (Ad-Supported),Value,1978,,,
On-Demand Streaming (Ad-Supported),Value,1979,,,
On-Demand Streaming (Ad-Supported),Value,1980,,,
On-Demand Streaming (Ad-Supported),Value,1981,,,
On-Demand Streaming (Ad-Supported),Value,1982,,,
On-Demand Streaming (Ad-Supported),Value,1983,,,
On-Demand Streaming (Ad-Supported),Value,1984,,,
On-Demand Streaming (Ad-Supported),Value,1985,,,
On-Demand Streaming (Ad-Supported),Value,1986,,,
On-Demand Streaming (Ad-Supported),Value,1987,,,
On-Demand Streaming (Ad-Supported),Value,1988,,,
On-Demand Streaming (Ad-Supported),Value,1989,,,
On-Demand Streaming (Ad-Supported),Value,1990,,,
On-Demand Streaming (Ad-Supported),Value,1991,,,
On-Demand Streaming (Ad-Supported),Value,1992,,,
On-Demand Streaming (Ad-Supported),Value,1993,,,
On-Demand Streaming (Ad-Supported),Value,1994,,,
On-Demand Streaming (Ad-Supported),Value,1995,,,
On-Demand Streaming (Ad-Supported),Value,1996,,,
On-Demand Streaming (Ad-Supported),Value,1997,,,
On-Demand Streaming (Ad-Supported),Value,1998,,,
On-Demand Streaming (Ad-Supported),Value,1999,,,
On-Demand Streaming (Ad-Supported),Value,2000,,,
